Tweets	Followers	Friends	Happy	Sad
936	94	74	0.970588	0.029412
56	60	91	0.480856	0.519144
723	51	27	0.480856	0.519144
483	59	68	0.480856	0.519144
1186	76	70	0.480856	0.519144
10582	870	1207	0.480856	0.519144
1270	77	32	0.029411	0.970589
195	90	218	0.480856	0.519144
1282	187	271	0.480856	0.519144
484	31	4	0.970588	0.029412
44	28	30	0.480856	0.519144
311	65	61	0.970588	0.029412
16589	2028	2228	0.029411	0.970589
32	5	35	0.970588	0.029412
69	71	72	0.480856	0.519144
665	100	194	0.480856	0.519144
5176	528	4	0.480856	0.519144
2426	125	173	0.480856	0.519144
1027	317	467	0.480856	0.519144
162	90	110	0.480856	0.519144
584	97	105	0.480856	0.519144
164	15	46	0.480856	0.519144
29	12	40	0.480856	0.519144
3793	191	83	0.480856	0.519144
723	85	80	0.480856	0.519144
289	33	35	0.480856	0.519144
2729	147	118	0.480856	0.519144
207	51	47	0.480927	0.519073
5156	28	13	0.480856	0.519144
1066	63	138	0.970588	0.029412
288	48	46	0.480856	0.519144
1	1	0	0.480856	0.519144
323	36	51	0.970588	0.029412
1731	121	151	0.970588	0.029412
1000	138	76	0.970588	0.029412
92	64	153	0.480856	0.519144
6904	1010	161	0.480856	0.519144
706	69	116	0.480856	0.519144
928	115	246	0.480856	0.519144
105	41	121	0.480856	0.519144
1924	464	388	0.480856	0.519144
798	62	73	0.480856	0.519144
166	7	14	0.015151	0.984849
4376	43	47	0.029411	0.970589
182	15	34	0.480856	0.519144
859	888	1906	0.480856	0.519144
772	36	12	0.480856	0.519144
86	5	9	0.480856	0.519144
7	5	9	0.480856	0.519144
3038	129	36	0.480856	0.519144
57	18	42	0.480856	0.519144
407	1879	1781	0.480856	0.519144
143	99	257	0.480856	0.519144
18727	2135	132	0.480856	0.519144
1089	540	537	0.999568	0.000432
1484	267	87	0.480927	0.519073
899	2076	130	0.480856	0.519144
18762	825	215	0.970588	0.029412
2157	265	273	0.999150	0.000850
143	172	10	0.970588	0.029412
916	102	144	0.480856	0.519144
92	25	152	0.480856	0.519144
10	3	5	0.480856	0.519144
2731	4526	4973	0.480856	0.519144
12273	517	515	0.480856	0.519144
136	12	15	0.480856	0.519144
299	27	53	0.970588	0.029412
64	5	19	0.480856	0.519144
173	11	20	0.480856	0.519144
361	133	93	0.480856	0.519144
898	241	141	0.480856	0.519144
4788	214	54	0.480856	0.519144
696	98	69	0.480856	0.519144
543	39	77	0.480856	0.519144
1601	820	786	0.970588	0.029412
7863	678	135	0.480856	0.519144
1191	65	31	0.029411	0.970589
259	41	120	0.480856	0.519144
147	19	23	0.480856	0.519144
81	6	2	0.970588	0.029412
237	305	1170	0.480856	0.519144
4171	155	116	0.970588	0.029412
47	31	51	0.480856	0.519144
135	39	50	0.480856	0.519144
13	3	14	0.480856	0.519144
35	14	18	0.480856	0.519144
7371	638	203	0.480856	0.519144
5732	4631	3992	0.999150	0.000850
352	43	83	0.480856	0.519144
34	38	59	0.480856	0.519144
3986	862	789	0.480856	0.519144
1173	112	67	0.480856	0.519144
837	36	50	0.480856	0.519144
70	12	8	0.480856	0.519144
1071	18326	17568	0.970588	0.029412
9384	218	132	0.480856	0.519144
38	4	8	0.480856	0.519144
3432	172	353	0.480856	0.519144
105	7	28	0.970588	0.029412
362	56	60	0.480856	0.519144
18	105	0	0.480856	0.519144
1504	310	355	0.480856	0.519144
189	20	21	0.970588	0.029412
50	243	255	0.480856	0.519144
133	20	30	0.480856	0.519144
15	1	4	0.480856	0.519144
20	3	9	0.480856	0.519144
1768	54	42	0.480856	0.519144
251	94	94	0.480856	0.519144
5706	2633	589	0.480927	0.519073
2262	947	2001	0.480856	0.519144
673	328	1992	0.480856	0.519144
538	489	722	0.480856	0.519144
588	54	31	0.480856	0.519144
11172	1059	1	0.480856	0.519144
1334	29	43	0.480856	0.519144
30	6	9	0.480856	0.519144
894	48	61	0.480856	0.519144
502	160	232	0.480856	0.519144
3266	656	312	0.029419	0.970581
269	16	10	0.970588	0.029412
348	53	98	0.480856	0.519144
1	1	2	0.480856	0.519144
22588	159	0	0.970588	0.029412
34	51	73	0.480856	0.519144
249	39	41	0.480856	0.519144
73	42	108	0.970588	0.029412
381	40	97	0.519134	0.480866
1167	48	32	0.480856	0.519144
886	128	182	0.480856	0.519144
2250	104	151	0.999150	0.000850
1059	57	55	0.480856	0.519144
45049	428	2	0.970588	0.029412
101	26	38	0.029411	0.970589
